순위,제목,가수,앨범
1,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
2,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
3,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL),베이식,쇼미더머니 10 Episode 3
4,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
5,불협화음 (Feat. AKMU) (Prod. by GRAY),Mudd the student,쇼미더머니 10 Semi Final
6,쉬어 (Feat. MINO) (Prod. by GRAY),아넌딜라이트 (Anandelight) & Unofficialboyy & BE'O (비오) & 지구인 & Mudd The Student,쇼미더머니 10 Episode 1
7,문득,BE'O (비오),Bipolar
8,strawberry moon,아이유 (IU),strawberry moon
9,Wake Up (Prod. by 코드 쿤스트),개코 & Ourealgoat (아우릴고트) & SINCE & 안병웅 & Tabber & 조광일,쇼미더머니 10 Episode 1
10,네가 없는 밤 (Feat. ASH ISLAND) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Final
11,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
12,신호등,이무진,신호등
13,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
14,Stay,The Kid LAROI & Justin Bieber,Stay
15,MBTI (Feat. 쿠기 & 로꼬) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Semi Final
16,Savage,aespa,Savage - The 1st Mini Album
17,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
18,눈이 오잖아 (Feat.헤이즈),이무진,눈이 오잖아
19,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
20,My Universe,Coldplay & 방탄소년단,My Universe
21,Next Level,aespa,Next Level
22,Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta,Listen (Deluxe)
23,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
24,ELEVEN,IVE (아이브),ELEVEN
25,너를 생각해,주시크 (Joosiq),너를 생각해
26,호우주의 (Feat. 개코 & 넉살 (Nucksal)) (Prod. by 코드 쿤스트),조광일,쇼미더머니 10 Semi Final
27,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
28,Permission to Dance,방탄소년단,Butter / Permission to Dance
29,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
30,그대라는 사치,임영웅,사랑의 콜센타 PART62
31,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
32,HERO,임영웅,HERO
33,거리,어반자카파,"지금, 헤어지는 중입니다 OST Part.8"
34,잊었니,임영웅,사랑의 콜센타 PART60
35,끝사랑,임영웅,사랑의 콜센타 PART61
36,깐부 (Feat. 염따 & ASH ISLAND) (Prod. by TOIL),쿤타 (Koonta),쇼미더머니 10 Episode 3
37,Bad Habits,Ed Sheeran,=
38,Bk Love,임영웅,뽕숭아학당 PART23
39,Butter,방탄소년단,Butter
40,가리온 (Feat. 다이나믹 듀오) (Prod. by Primary),조광일,쇼미더머니 10 Final
41,고백,멜로망스 (MeloMance),세 번째 '고백'
